,symbol,name,sector,market_cap
396,APG,APi Group,Construction & Engineering,4.12B
397,APGB,Apollo Strategic Growth Capital II,Shell Companies,843.52M
398,APH,Amphenol,"Electronic Equipment, Instruments & C...",41.29B
399,API,Agora,"Electronic Equipment, Instruments & C...",779.81M
400,APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,3.57B
401,APLS,Apellis Pharmaceuticals,Biotechnology,4.78B
402,APLT,Applied Therapeutics,Biotechnology,41.19M
403,APM,Aptorum Group,Biotechnology,36.41M
404,APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,180.37M
405,APN,Apeiron Capital Investment,Blank Check / SPAC,216.27M
406,APO,Apollo Global Management,Capital Markets,33.10B
407,APOG,Apogee Enterprises,Building Products,909.61M
408,APP,AppLovin,Software-Application,14.88B
409,APPF,AppFolio,Software,3.42B
410,APPH,AppHarvest,Food Products,313.34M
411,APPN,Appian,Software,3.49B
412,APPS,Digital Turbine,Software,2.48B
413,APRE,Aprea Therapeutics,Biotechnology,15.38M
414,APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,102.08M
415,APSG,Apollo Strategic Growth Capital,Shell Companies,986.30M
416,APT,Alpha Pro Tech,Building Products,59.27M
417,APTM,Alpha Partners Technology Merger,Blank Check / SPAC,349.11M
418,APTO,Aptose Biosciences,Biotechnology,96.38M
419,APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts ...,1.62B
420,APTV,Aptiv,Auto Components,25.36B
421,APTX,Aptinyx,Biotechnology,39.46M
422,APVO,Aptevo Therapeutics,Biotechnology,22.99M
423,APWC,Asia Pacific Wire & Cable,Electrical Equipment,25.56M
424,APXI,APx Acquisition I,Blank Check / SPAC,214.55M
425,APYX,Apyx Medical,Health Care Equipment & Supplies,120.93M
426,AQB,AquaBounty Technologies,Biotechnology,89.24M
427,AQMS,Aqua Metals,Commercial Services & Supplies,56.98M
428,AQN,Algonquin Power & Utilities,Multi-Utilities,9.91B
429,AQST,Aquestive Therapeutics,Pharmaceuticals,45.27M
430,AQUA,Evoqua Water Technologies,Machinery,4.43B
431,AR,Antero Resources,"Oil, Gas & Consumable Fuels",11.80B
432,ARAV,Aravive,Biotechnology,31.42M
433,ARAY,Accuray,Health Care Equipment & Supplies,205.09M
434,ARBE,Arbe Robotics,Software-Infrastructure,394.17M
435,ARBG,Aequi Acquisition,Blank Check / SPAC,283.19M
436,ARBK,Argo Blockchain,Capital Markets,286.00M
437,ARC,ARC Document Solutions,Commercial Services & Supplies,125.06M
438,ARCB,ArcBest,Road & Rail,1.70B
439,ARCC,Ares Capital,Capital Markets,9.05B
440,ARCE,Arco Platform,Diversified Consumer Services,865.85M
441,ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2.70B
442,ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,216.49M
443,ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1.58B
444,ARCT,Arcturus Therapeutics Holdings,Biotechnology,486.90M
445,ARDS,Aridis Pharmaceuticals,Biotechnology,18.06M
446,ARDX,Ardelyx,Biotechnology,92.05M
447,ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,26.30B
448,AREC,American Resources,"Oil, Gas & Consumable Fuels",110.23M
449,AREN,Arena Group Holdings,Internet Content & Information,158.27M
450,ARES,Ares Management,Capital Markets,20.03B
451,ARGO,Argo Group International Holdings,Insurance,1.46B
452,ARGU,Argus Capital,Blank Check / SPAC,380.94M
453,ARGX,Argenx SE,Biotechnology,17.50B
454,ARHS,Arhaus,Home Improvement Retail,814.47M
455,ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trust...,1.71B
456,ARIS,Aris Water Solutions,Utilities-Regulated Water,1.62B
457,ARIZ,Arisz Acquisition,Blank Check / SPAC,87.50M
458,ARKO,ARKO Corp.,Specialty Retail,1.04B
